Model,r_Known_Unknown,r_Known_Ambiguous,d_Known_Unknown,d_Known_Ambiguous
0.5B,0.9964281267620855,0.9983864039677578,0.033000644,0.020407846
1.5B,0.9941070740845844,0.9978687559665974,0.07605268,0.052635755
3B,0.992254038270936,0.9957506438030691,0.06991168,0.055181377
7B,0.9988228189174162,0.9995923270895808,0.049224075,0.040596895
14B,0.9954030612365096,0.9984185833443858,0.101446524,0.07204388
32B,0.9981913229252984,0.9993629524398199,0.089804485,0.08125571
72B,0.9959578317863804,0.9976353710409777,0.13098282,0.10398622
