Model,Known-Unknown,Known-Ambiguous,Unknown-Ambiguous
0.5B,0.9964281267620855,0.9983864039677578,0.99937710917664
1.5B,0.9941070740845844,0.9978687559665974,0.9988729513731898
3B,0.992254038270936,0.9957506438030691,0.9985285716304618
7B,0.9988228189174162,0.9995923270895808,0.9990406848929744
14B,0.9954030612365096,0.9984185833443858,0.9988194827118331
32B,0.9981913229252984,0.9993629524398199,0.9986564769468663
72B,0.9959578317863804,0.9976353710409777,0.9996273222799531
